Flat profile:

Each sample counts as 0.01 seconds.
  %   cumulative   self              self     total           
 time   seconds   seconds    calls  ms/call  ms/call  name    
                0.00    0.00       1/1           std::multimap<scene::physics::Position, scene::physics::Physics_Object, std::less<scene::physics::Position>, std::allocator<std::pair<scene::physics::Position const, scene::physics::Physics_Object> > >::size() const [205]
                0.00    0.00       1/1           scene::physics::Physics_Commands::~Physics_Commands() [202]
-----------------------------------------------
                0.00    0.05       1/1           std::multimap<scene::physics::Position, scene::physics::Physics_Object, std::less<scene::physics::Position>, std::allocator<std::pair<scene::physics::Position const, scene::physics::Physics_Object> > >::~multimap() [22]
[21]     2.4    0.00    0.05       1         std::_Rb_tree<scene::physics::Position, std::pair<scene::physics::Position const, scene::physics::Physics_Object>, std::_Select1st<std::pair<scene::physics::Position const, scene::physics::Physics_Object> >, std::less<scene::physics::Position>, std::allocator<std::pair<scene::physics::Position const, scene::physics::Physics_Object> > >::~_Rb_tree() [21]
                0.00    0.05       1/1           std::_Rb_tree<scene::physics::Position, std::pair<scene::physics::Position const, scene::physics::Physics_Object>, std::_Select1st<std::pair<scene::physics::Position const, scene::physics::Physics_Object> >, std::less<scene::physics::Position>, std::allocator<std::pair<scene::physics::Position const, scene::physics::Physics_Object> > >::_M_erase(std::_Rb_tree_node<std::pair<scene::physics::Position const, scene::physics::Physics_Object> >*) [23]
                0.00    0.00       1/2938545     std::_Rb_tree<scene::physics::Position, std::pair<scene::physics::Position const, scene::physics::Physics_Object>, std::_Select1st<std::pair<scene::physics::Position const, scene::physics::Physics_Object> >, std::less<scene::physics::Position>, std::allocator<std::pair<scene::physics::Position const, scene::physics::Physics_Object> > >::_M_begin() [52]
                0.00    0.00       1/1           std::_Rb_tree<scene::physics::Position, std::pair<scene::physics::Position const, scene::physics::Physics_Object>, std::_Select1st<std::pair<scene::physics::Position const, scene::physics::Physics_Object> >, std::less<scene::physics::Position>, std::allocator<std::pair<scene::physics::Position const, scene::physics::Physics_Object> > >::_Rb_tree_impl<std::less<scene::physics::Position>, true>::~_Rb_tree_impl() [222]
-----------------------------------------------
                0.00    0.05       1/1           scene::physics::Physics_Object_List::~Physics_Object_List() [20]
[22]     2.4    0.00    0.05       1         std::multimap<scene::physics::Position, scene::physics::Physics_Object, std::less<scene::physics::Position>, std::allocator<std::pair<scene::physics::Position const, scene::physics::Physics_Object> > >::~multimap() [22]
                0.00    0.05       1/1           std::_Rb_tree<scene::physics::Position, std::pair<scene::physics::Position const, scene::physics::Physics_Object>, std::_Select1st<std::pair<scene::physics::Position const, scene::physics::Physics_Object> >, std::less<scene::physics::Position>, std::allocator<std::pair<scene::physics::Position const, scene::physics::Physics_Object> > >::~_Rb_tree() [21]
-----------------------------------------------
                              968961             std::_Rb_tree<scene::physics::Position, std::pair<scene::physics::Position const, scene::physics::Physics_Object>, std::_Select1st<std::pair<scene::physics::Position const, scene::physics::Physics_Object> >, std::less<scene::physics::Position>, std::allocator<std::pair<scene::physics::Position const, scene::physics::Physics_Object> > >::_M_erase(std::_Rb_tree_node<std::pair<scene::physics::Position const, scene::physics::Physics_Object> >*) [23]
                0.00    0.05       1/1           std::_Rb_tree<scene::physics::Position, std::pair<scene::physics::Position const, scene::physics::Physics_Object>, std::_Select1st<std::pair<scene::physics::Position const, scene::physics::Physics_Object> >, std::less<scene::physics::Position>, std::allocator<std::pair<scene::physics::Position const, scene::physics::Physics_Object> > >::~_Rb_tree() [21]
[23]     2.4    0.00    0.05       1+968961  std::_Rb_tree<scene::physics::Position, std::pair<scene::physics::Position const, scene::physics::Physics_Object>, std::_Select1st<std::pair<scene::physics::Position const, scene::physics::Physics_Object> >, std::less<scene::physics::Position>, std::allocator<std::pair<scene::physics::Position const, scene::physics::Physics_Object> > >::_M_erase(std::_Rb_tree_node<std::pair<scene::physics::Position const, scene::physics::Physics_Object> >*) [23]
                0.01    0.04  968961/968961      std::_Rb_tree<scene::physics::Position, std::pair<scene::physics::Position const, scene::physics::Physics_Object>, std::_Select1st<std::pair<scene::physics::Position const, scene::physics::Physics_Object> >, std::less<scene::physics::Position>, std::allocator<std::pair<scene::physics::Position const, scene::physics::Physics_Object> > >::_M_drop_node(std::_Rb_tree_node<std::pair<scene::physics::Position const, scene::physics::Physics_Object> >*) [24]
                0.00    0.00  968961/29483730     std::_Rb_tree<scene::physics::Position, std::pair<scene::physics::Position const, scene::physics::Physics_Object>, std::_Select1st<std::pair<scene::physics::Position const, scene::physics::Physics_Object> >, std::less<scene::physics::Position>, std::allocator<std::pair<scene::physics::Position const, scene::physics::Physics_Object> > >::_S_right(std::_Rb_tree_node_base*) [14]
                0.00    0.00  968961/29703232     std::_Rb_tree<scene::physics::Position, std::pair<scene::physics::Position const, scene::physics::Physics_Object>, std::_Select1st<std::pair<scene::physics::Position const, scene::physics::Physics_Object> >, std::less<scene::physics::Position>, std::allocator<std::pair<scene::physics::Position const, scene::physics::Physics_Object> > >::_S_left(std::_Rb_tree_node_base*) [15]
                              968961             std::_Rb_tree<scene::physics::Position, std::pair<scene::physics::Position const, scene::physics::Physics_Object>, std::_Select1st<std::pair<scene::physics::Position const, scene::physics::Physics_Object> >, std::less<scene::physics::Position>, std::allocator<std::pair<scene::physics::Position const, scene::physics::Physics_Object> > >::_M_erase(std::_Rb_tree_node<std::pair<scene::physics::Position const, scene::physics::Physics_Object> >*) [23]
-----------------------------------------------
                0.01    0.04  968961/968961      std::_Rb_tree<scene::physics::Position, std::pair<scene::physics::Position const, scene::physics::Physics_Object>, std::_Select1st<std::pair<scene::physics::Position const, scene::physics::Physics_Object> >, std::less<scene::physics::Position>, std::allocator<std::pair<scene::physics::Position const, scene::physics::Physics_Object> > >::_M_erase(std::_Rb_tree_node<std::pair<scene::physics::Position const, scene::physics::Physics_Object> >*) [23]
[24]     2.0    0.01    0.04  968961         std::_Rb_tree<scene::physics::Position, std::pair<scene::physics::Position const, scene::physics::Physics_Object>, std::_Select1st<std::pair<scene::physics::Position const, scene::physics::Physics_Object> >, std::less<scene::physics::Position>, std::allocator<std::pair<scene::physics::Position const, scene::physics::Physics_Object> > >::_M_drop_node(std::_Rb_tree_node<std::pair<scene::physics::Position const, scene::physics::Physics_Object> >*) [24]
                0.01    0.01  968961/968961      std::_Rb_tree<scene::physics::Position, std::pair<scene::physics::Position const, scene::physics::Physics_Object>, std::_Select1st<std::pair<scene::physics::Position const, scene::physics::Physics_Object> >, std::less<scene::physics::Position>, std::allocator<std::pair<scene::physics::Position const, scene::physics::Physics_Object> > >::_M_put_node(std::_Rb_tree_node<std::pair<scene::physics::Position const, scene::physics::Physics_Object> >*) [35]
                0.01    0.01  968961/968961      std::_Rb_tree<scene::physics::Position, std::pair<scene::physics::Position const, scene::physics::Physics_Object>, std::_Select1st<std::pair<scene::physics::Position const, scene::physics::Physics_Object> >, std::less<scene::physics::Position>, std::allocator<std::pair<scene::physics::Position const, scene::physics::Physics_Object> > >::_M_destroy_node(std::_Rb_tree_node<std::pair<scene::physics::Position const, scene::physics::Physics_Object> >*) [39]
-----------------------------------------------
                0.01    0.04 1969451/1969451     std::_Rb_tree<scene::physics::Position, std::pair<scene::physics::Position const, scene::physics::Physics_Object>, std::_Select1st<std::pair<scene::physics::Position const, scene::physics::Physics_Object> >, std::less<scene::physics::Position>, std::allocator<std::pair<scene::physics::Position const, scene::physics::Physics_Object> > >::equal_range(scene::physics::Position const&) [4]
[25]     2.0    0.01    0.04 1969451         std::pair<std::_Rb_tree_iterator<std::pair<scene::physics::Position const, scene::physics::Physics_Object> >, std::_Rb_tree_iterator<std::pair<scene::physics::Position const, scene::physics::Physics_Object> > >::pair<std::_Rb_tree_iterator<std::pair<scene::physics::Position const, scene::physics::Physics_Object> >, std::_Rb_tree_iterator<std::pair<scene::physics::Position const, scene::physics::Physics_Object> >, true>(std::_Rb_tree_iterator<std::pair<scene::physics::Position const, scene::physics::Physics_Object> >&&, std::_Rb_tree_iterator<std::pair<scene::physics::Position const, scene::physics::Physics_Object> >&&) [25]
                0.04    0.00 3938902/3938902     std::_Rb_tree_iterator<std::pair<scene::physics::Position const, scene::physics::Physics_Object> >&& std::forward<std::_Rb_tree_iterator<std::pair<scene::physics::Position const, scene::physics::Physics_Object> > >(std::remove_reference<std::_Rb_tree_iterator<std::pair<scene::physics::Position const, scene::physics::Physics_Object> > >::type&) [30]
-----------------------------------------------
                0.01    0.03  968961/968961      std::_Rb_tree_iterator<std::pair<scene::physics::Position const, scene::physics::Physics_Object> > std::_Rb_tree<scene::physics::Position, std::pair<scene::physics::Position const, scene::physics::Physics_Object>, std::_Select1st<std::pair<scene::physics::Position const, scene::physics::Physics_Object> >, std::less<scene::physics::Position>, std::allocator<std::pair<scene::physics::Position const, scene::physics::Physics_Object> > >::_M_emplace_equal<std::pair<scene::physics::Position, scene::physics::Physics_Object> >(std::pair<scene::physics::Position, scene::physics::Physics_Object>&&) [9]
[26]     1.9    0.01    0.03  968961         std::_Rb_tree_node<std::pair<scene::physics::Position const, scene::physics::Physics_Object> >* std::_Rb_tree<scene::physics::Position, std::pair<scene::physics::Position const, scene::physics::Physics_Object>, std::_Select1st<std::pair<scene::physics::Position const, scene::physics::Physics_Object> >, std::less<scene::physics::Position>, std::allocator<std::pair<scene::physics::Position const, scene::physics::Physics_Object> > >::_M_create_node<std::pair<scene::physics::Position, scene::physics::Physics_Object> >(std::pair<scene::physics::Position, scene::physics::Physics_Object>&&) [26]
                0.00    0.02  968961/968961      void std::_Rb_tree<scene::physics::Position, std::pair<scene::physics::Position const, scene::physics::Physics_Object>, std::_Select1st<std::pair<scene::physics::Position const, scene::physics::Physics_Object> >, std::less<scene::physics::Position>, std::allocator<std::pair<scene::physics::Position const, scene::physics::Physics_Object> > >::_M_construct_node<std::pair<scene::physics::Position, scene::physics::Physics_Object> >(std::_Rb_tree_node<std::pair<scene::physics::Position const, scene::physics::Physics_Object> >*, std::pair<scene::physics::Position, scene::physics::Physics_Object>&&) [36]
                0.00    0.01  968961/968961      std::_Rb_tree<scene::physics::Position, std::pair<scene::physics::Position const, scene::physics::Physics_Object>, std::_Select1st<std::pair<scene::physics::Position const, scene::physics::Physics_Object> >, std::less<scene::physics::Position>, std::allocator<std::pair<scene::physics::Position const, scene::physics::Physics_Object> > >::_M_get_node() [45]
                0.00    0.00  968961/5813766     std::pair<scene::physics::Position, scene::physics::Physics_Object>&& std::forward<std::pair<scene::physics::Position, scene::physics::Physics_Object> >(std::remove_reference<std::pair<scene::physics::Position, scene::physics::Physics_Object> >::type&) [87]
-----------------------------------------------
                0.00    0.04  969063/969063      scene::physics::Physics_Object_List::execute(double) [19]
[27]     1.8    0.00    0.04  969063         scene::physics::Physics_Object_List::nudge(double, scene::physics::Dir_3d, scene::physics::Physics_Object&) [27]
                0.02    0.02 2011319/2011319     scene::physics::Physics_Object_List::nudge_card(double, scene::physics::Dir_3d_card, scene::physics::Physics_Object&) [28]
                0.00    0.00     186/969147      std::vector<scene::physics::Nudge_Command, std::allocator<scene::physics::Nudge_Command> >::push_back(scene::physics::Nudge_Command&&) [33]
-----------------------------------------------
                0.02    0.02 2011319/2011319     scene::physics::Physics_Object_List::nudge(double, scene::physics::Dir_3d, scene::physics::Physics_Object&) [27]
[28]     1.8    0.02    0.02 2011319         scene::physics::Physics_Object_List::nudge_card(double, scene::physics::Dir_3d_card, scene::physics::Physics_Object&) [28]
                0.00    0.01     185/185         scene::physics::Physics_Object_List::move(unsigned long, scene::physics::Position, scene::physics::Position) [46]
                0.01    0.00 2011319/2011319     scene::physics::delta_speed(double, double) [57]
                0.00    0.00     203/1000305     scene::physics::Physics_Object_List::resist_at_pos(scene::physics::Position&) [7]
                0.00    0.00     203/203         scene::physics::apply_resistance(double, scene::physics::Collide_Resistance, double&) [112]
                0.00    0.00     185/185         scene::physics::pos_in_bounds(scene::physics::Position) [113]
-----------------------------------------------
                0.00    0.00     132/969093      std::_Rb_tree<scene::physics::Position, std::pair<scene::physics::Position const, scene::physics::Physics_Object>, std::_Select1st<std::pair<scene::physics::Position const, scene::physics::Physics_Object> >, std::less<scene::physics::Position>, std::allocator<std::pair<scene::physics::Position const, scene::physics::Physics_Object> > >::_M_reinsert_node_equal(std::_Node_handle<scene::physics::Position, std::pair<scene::physics::Position const, scene::physics::Physics_Object>, std::allocator<std::_Rb_tree_node<std::pair<scene::physics::Position const, scene::physics::Physics_Object> > > >&&) [77]
                0.01    0.03  968961/969093      std::_Rb_tree_iterator<std::pair<scene::physics::Position const, scene::physics::Physics_Object> > std::_Rb_tree<scene::physics::Position, std::pair<scene::physics::Position const, scene::physics::Physics_Object>, std::_Select1st<std::pair<scene::physics::Position const, scene::physics::Physics_Object> >, std::less<scene::physics::Position>, std::allocator<std::pair<scene::physics::Position const, scene::physics::Physics_Object> > >::_M_emplace_equal<std::pair<scene::physics::Position, scene::physics::Physics_Object> >(std::pair<scene::physics::Position, scene::physics::Physics_Object>&&) [9]
[29]     1.5    0.01    0.03  969093         std::_Rb_tree<scene::physics::Position, std::pair<scene::physics::Position const, scene::physics::Physics_Object>, std::_Select1st<std::pair<scene::physics::Position const, scene::physics::Physics_Object> >, std::less<scene::physics::Position>, std::allocator<std::pair<scene::physics::Position const, scene::physics::Physics_Object> > >::_M_insert_node(std::_Rb_tree_node_base*, std::_Rb_tree_node_base*, std::_Rb_tree_node<std::pair<scene::physics::Position const, scene::physics::Physics_Object> >*) [29]
                0.00    0.01  969092/76600711     std::less<scene::physics::Position>::operator()(scene::physics::Position const&, scene::physics::Position const&) const [5]
                0.00    0.01  969092/969092      std::_Rb_tree<scene::physics::Position, std::pair<scene::physics::Position const, scene::physics::Physics_Object>, std::_Select1st<std::pair<scene::physics::Position const, scene::physics::Physics_Object> >, std::less<scene::physics::Position>, std::allocator<std::pair<scene::physics::Position const, scene::physics::Physics_Object> > >::_S_key(std::_Rb_tree_node_base const*) [69]
                0.00    0.00  969092/78538764     std::_Rb_tree<scene::physics::Position, std::pair<scene::physics::Position const, scene::physics::Physics_Object>, std::_Select1st<std::pair<scene::physics::Position const, scene::physics::Physics_Object> >, std::less<scene::physics::Position>, std::allocator<std::pair<scene::physics::Position const, scene::physics::Physics_Object> > >::_S_key(std::_Rb_tree_node<std::pair<scene::physics::Position const, scene::physics::Physics_Object> > const*) [11]
                0.00    0.00  969093/4908127     std::_Rb_tree_iterator<std::pair<scene::physics::Position const, scene::physics::Physics_Object> >::_Rb_tree_iterator(std::_Rb_tree_node_base*) [50]
                0.00    0.00  969093/3907637     std::_Rb_tree<scene::physics::Position, std::pair<scene::physics::Position const, scene::physics::Physics_Object>, std::_Select1st<std::pair<scene::physics::Position const, scene::physics::Physics_Object> >, std::less<scene::physics::Position>, std::allocator<std::pair<scene::physics::Position const, scene::physics::Physics_Object> > >::_M_end() [88]
-----------------------------------------------
                0.04    0.00 3938902/3938902     std::pair<std::_Rb_tree_iterator<std::pair<scene::physics::Position const, scene::physics::Physics_Object> >, std::_Rb_tree_iterator<std::pair<scene::physics::Position const, scene::physics::Physics_Object> > >::pair<std::_Rb_tree_iterator<std::pair<scene::physics::Position const, scene::physics::Physics_Object> >, std::_Rb_tree_iterator<std::pair<scene::physics::Position const, scene::physics::Physics_Object> >, true>(std::_Rb_tree_iterator<std::pair<scene::physics::Position const, scene::physics::Physics_Object> >&&, std::_Rb_tree_iterator<std::pair<scene::physics::Position const, scene::physics::Physics_Object> >&&) [25]
[30]     1.5    0.04    0.00 3938902         std::_Rb_tree_iterator<std::pair<scene::physics::Position const, scene::physics::Physics_Object> >&& std::forward<std::_Rb_tree_iterator<std::pair<scene::physics::Position const, scene::physics::Physics_Object> > >(std::remove_reference<std::_Rb_tree_iterator<std::pair<scene::physics::Position const, scene::physics::Physics_Object> > >::type&) [30]
-----------------------------------------------
                0.00    0.00     264/4907651     std::_Node_handle<scene::physics::Position, std::pair<scene::physics::Position const, scene::physics::Physics_Object>, std::allocator<std::_Rb_tree_node<std::pair<scene::physics::Position const, scene::physics::Physics_Object> > > >::_Node_handle(std::_Rb_tree_node<std::pair<scene::physics::Position const, scene::physics::Physics_Object> >*, std::allocator<std::_Rb_tree_node<std::pair<scene::physics::Position const, scene::physics::Physics_Object> > > const&) [49]
                0.00    0.00  968961/4907651     std::_Rb_tree<scene::physics::Position, std::pair<scene::physics::Position const, scene::physics::Physics_Object>, std::_Select1st<std::pair<scene::physics::Position const, scene::physics::Physics_Object> >, std::less<scene::physics::Position>, std::allocator<std::pair<scene::physics::Position const, scene::physics::Physics_Object> > >::_M_destroy_node(std::_Rb_tree_node<std::pair<scene::physics::Position const, scene::physics::Physics_Object> >*) [39]
                0.00    0.00  968961/4907651     void std::_Rb_tree<scene::physics::Position, std::pair<scene::physics::Position const, scene::physics::Physics_Object>, std::_Select1st<std::pair<scene::physics::Position const, scene::physics::Physics_Object> >, std::less<scene::physics::Position>, std::allocator<std::pair<scene::physics::Position const, scene::physics::Physics_Object> > >::_M_construct_node<std::pair<scene::physics::Position, scene::physics::Physics_Object> >(std::_Rb_tree_node<std::pair<scene::physics::Position const, scene::physics::Physics_Object> >*, std::pair<scene::physics::Position, scene::physics::Physics_Object>&&) [36]
                0.01    0.01 2969465/4907651     std::_Rb_tree_iterator<std::pair<scene::physics::Position const, scene::physics::Physics_Object> >::operator->() const [40]
[31]     1.3    0.02    0.01 4907651         std::_Rb_tree_node<std::pair<scene::physics::Position const, scene::physics::Physics_Object> >::_M_valptr() [31]
                0.00    0.01 4907651/4907651     __gnu_cxx::__aligned_membuf<std::pair<scene::physics::Position const, scene::physics::Physics_Object> >::_M_ptr() [53]
-----------------------------------------------
                0.01    0.02  969147/969147      std::vector<scene::physics::Nudge_Command, std::allocator<scene::physics::Nudge_Command> >::push_back(scene::physics::Nudge_Command&&) [33]
[32]     1.3    0.01    0.02  969147         scene::physics::Nudge_Command& std::vector<scene::physics::Nudge_Command, std::allocator<scene::physics::Nudge_Command> >::emplace_back<scene::physics::Nudge_Command>(scene::physics::Nudge_Command&&) [32]
                0.00    0.02  969118/969147      void std::allocator_traits<std::allocator<scene::physics::Nudge_Command> >::construct<scene::physics::Nudge_Command, scene::physics::Nudge_Command>(std::allocator<scene::physics::Nudge_Command>&, scene::physics::Nudge_Command*, scene::physics::Nudge_Command&&) [37]
                0.00    0.00      29/29          void std::vector<scene::physics::Nudge_Command, std::allocator<scene::physics::Nudge_Command> >::_M_realloc_insert<scene::physics::Nudge_Command>(__gnu_cxx::__normal_iterator<scene::physics::Nudge_Command*, std::vector<scene::physics::Nudge_Command, std::allocator<scene::physics::Nudge_Command> > >, scene::physics::Nudge_Command&&) [79]
                0.00    0.00  969147/2907470     scene::physics::Nudge_Command&& std::forward<scene::physics::Nudge_Command>(std::remove_reference<scene::physics::Nudge_Command>::type&) [89]
                0.00    0.00  969147/969147      std::vector<scene::physics::Nudge_Command, std::allocator<scene::physics::Nudge_Command> >::back() [98]
                0.00    0.00      29/969178      std::vector<scene::physics::Nudge_Command, std::allocator<scene::physics::Nudge_Command> >::end() [96]
-----------------------------------------------
                0.00    0.00     186/969147      scene::physics::Physics_Object_List::nudge(double, scene::physics::Dir_3d, scene::physics::Physics_Object&) [27]
                0.00    0.03  968961/969147      scene::physics::Physics_Object_List::add_object(scene::physics::Physics_Data) [2]
[33]     1.3    0.00    0.03  969147         std::vector<scene::physics::Nudge_Command, std::allocator<scene::physics::Nudge_Command> >::push_back(scene::physics::Nudge_Command&&) [33]
                0.01    0.02  969147/969147      scene::physics::Nudge_Command& std::vector<scene::physics::Nudge_Command, std::allocator<scene::physics::Nudge_Command> >::emplace_back<scene::physics::Nudge_Command>(scene::physics::Nudge_Command&&) [32]
                0.00    0.00  969147/969147      std::remove_reference<scene::physics::Nudge_Command&>::type&& std::move<scene::physics::Nudge_Command&>(scene::physics::Nudge_Command&) [99]
-----------------------------------------------
                0.02    0.01  968961/968961      scene::physics::Physics_Object_List::add_object(scene::physics::Physics_Data) [2]
[34]     1.2    0.02    0.01  968961         std::pair<std::__strip_reference_wrapper<std::decay<scene::physics::Position>::type>::__type, std::__strip_reference_wrapper<std::decay<scene::physics::Physics_Object>::type>::__type> std::make_pair<scene::physics::Position, scene::physics::Physics_Object>(scene::physics::Position&&, scene::physics::Physics_Object&&) [34]
                0.00    0.00  968961/2906883     scene::physics::Physics_Object&& std::forward<scene::physics::Physics_Object>(std::remove_reference<scene::physics::Physics_Object>::type&) [56]
                0.00    0.00  968961/968961      std::pair<scene::physics::Position, scene::physics::Physics_Object>::pair<scene::physics::Position, scene::physics::Physics_Object, true>(scene::physics::Position&&, scene::physics::Physics_Object&&) [76]
                0.00    0.00  968961/2906883     scene::physics::Position&& std::forward<scene::physics::Position>(std::remove_reference<scene::physics::Position>::type&) [91]
-----------------------------------------------
                0.01    0.01  968961/968961      std::_Rb_tree<scene::physics::Position, std::pair<scene::physics::Position const, scene::physics::Physics_Object>, std::_Select1st<std::pair<scene::physics::Position const, scene::physics::Physics_Object> >, std::less<scene::physics::Position>, std::allocator<std::pair<scene::physics::Position const, scene::physics::Physics_Object> > >::_M_drop_node(std::_Rb_tree_node<std::pair<scene::physics::Position const, scene::physics::Physics_Object> >*) [24]
[35]     1.0    0.01    0.01  968961         std::_Rb_tree<scene::physics::Position, std::pair<scene::physics::Position const, scene::physics::Physics_Object>, std::_Select1st<std::pair<scene::physics::Position const, scene::physics::Physics_Object> >, std::less<scene::physics::Position>, std::allocator<std::pair<scene::physics::Position const, scene::physics::Physics_Object> > >::_M_put_node(std::_Rb_tree_node<std::pair<scene::physics::Position const, scene::physics::Physics_Object> >*) [35]
                0.01    0.00  968961/968961      std::allocator_traits<std::allocator<std::_Rb_tree_node<std::pair<scene::physics::Position const, scene::physics::Physics_Object> > > >::deallocate(std::allocator<std::_Rb_tree_node<std::pair<scene::physics::Position const, scene::physics::Physics_Object> > >&, std::_Rb_tree_node<std::pair<scene::physics::Position const, scene::physics::Physics_Object> >*, unsigned long) [61]
                0.00    0.00  968961/3875976     std::_Rb_tree<scene::physics::Position, std::pair<scene::physics::Position const, scene::physics::Physics_Object>, std::_Select1st<std::pair<scene::physics::Position const, scene::physics::Physics_Object> >, std::less<scene::physics::Position>, std::allocator<std::pair<scene::physics::Position const, scene::physics::Physics_Object> > >::_M_get_Node_allocator() [55]
-----------------------------------------------
                0.00    0.02  968961/968961      std::_Rb_tree_node<std::pair<scene::physics::Position const, scene::physics::Physics_Object> >* std::_Rb_tree<scene::physics::Position, std::pair<scene::physics::Position const, scene::physics::Physics_Object>, std::_Select1st<std::pair<scene::physics::Position const, scene::physics::Physics_Object> >, std::less<scene::physics::Position>, std::allocator<std::pair<scene::physics::Position const, scene::physics::Physics_Object> > >::_M_create_node<std::pair<scene::physics::Position, scene::physics::Physics_Object> >(std::pair<scene::physics::Position, scene::physics::Physics_Object>&&) [26]
[36]     0.9    0.00    0.02  968961         void std::_Rb_tree<scene::physics::Position, std::pair<scene::physics::Position const, scene::physics::Physics_Object>, std::_Select1st<std::pair<scene::physics::Position const, scene::physics::Physics_Object> >, std::less<scene::physics::Position>, std::allocator<std::pair<scene::physics::Position const, scene::physics::Physics_Object> > >::_M_construct_node<std::pair<scene::physics::Position, scene::physics::Physics_Object> >(std::_Rb_tree_node<std::pair<scene::physics::Position const, scene::physics::Physics_Object> >*, std::pair<scene::physics::Position, scene::physics::Physics_Object>&&) [36]
                0.00    0.01  968961/968961      void std::allocator_traits<std::allocator<std::_Rb_tree_node<std::pair<scene::physics::Position const, scene::physics::Physics_Object> > > >::construct<std::pair<scene::physics::Position const, scene::physics::Physics_Object>, std::pair<scene::physics::Position, scene::physics::Physics_Object> >(std::allocator<std::_Rb_tree_node<std::pair<scene::physics::Position const, scene::physics::Physics_Object> > >&, std::pair<scene::physics::Position const, scene::physics::Physics_Object>*, std::pair<scene::physics::Position, scene::physics::Physics_Object>&&) [42]
                0.00    0.00  968961/4907651     std::_Rb_tree_node<std::pair<scene::physics::Position const, scene::physics::Physics_Object> >::_M_valptr() [31]
                0.00    0.00  968961/3875976     std::_Rb_tree<scene::physics::Position, std::pair<scene::physics::Position const, scene::physics::Physics_Object>, std::_Select1st<std::pair<scene::physics::Position const, scene::physics::Physics_Object> >, std::less<scene::physics::Position>, std::allocator<std::pair<scene::physics::Position const, scene::physics::Physics_Object> > >::_M_get_Node_allocator() [55]
                0.00    0.00  968961/2907069     operator new(unsigned long, void*) [90]
                0.00    0.00  968961/5813766     std::pair<scene::physics::Position, scene::physics::Physics_Object>&& std::forward<std::pair<scene::physics::Position, scene::physics::Physics_Object> >(std::remove_reference<std::pair<scene::physics::Position, scene::physics::Physics_Object> >::type&) [87]
-----------------------------------------------
                0.00    0.00      29/969147      void std::vector<scene::physics::Nudge_Command, std::allocator<scene::physics::Nudge_Command> >::_M_realloc_insert<scene::physics::Nudge_Command>(__gnu_cxx::__normal_iterator<scene::physics::Nudge_Command*, std::vector<scene::physics::Nudge_Command, std::allocator<scene::physics::Nudge_Command> > >, scene::physics::Nudge_Command&&) [79]
                0.00    0.02  969118/969147      scene::physics::Nudge_Command& std::vector<scene::physics::Nudge_Command, std::allocator<scene::physics::Nudge_Command> >::emplace_back<scene::physics::Nudge_Command>(scene::physics::Nudge_Command&&) [32]
[37]     0.9    0.00    0.02  969147         void std::allocator_traits<std::allocator<scene::physics::Nudge_Command> >::construct<scene::physics::Nudge_Command, scene::physics::Nudge_Command>(std::allocator<scene::physics::Nudge_Command>&, scene::physics::Nudge_Command*, scene::physics::Nudge_Command&&) [37]
                0.02    0.00  969147/969147      decltype (::new ((void*)(0)) scene::physics::Nudge_Command((declval<scene::physics::Nudge_Command>)())) std::construct_at<scene::physics::Nudge_Command, scene::physics::Nudge_Command>(scene::physics::Nudge_Command*, scene::physics::Nudge_Command&&) [38]
                0.00    0.00  969147/2907470     scene::physics::Nudge_Command&& std::forward<scene::physics::Nudge_Command>(std::remove_reference<scene::physics::Nudge_Command>::type&) [89]
-----------------------------------------------
                0.02    0.00  969147/969147      void std::allocator_traits<std::allocator<scene::physics::Nudge_Command> >::construct<scene::physics::Nudge_Command, scene::physics::Nudge_Command>(std::allocator<scene::physics::Nudge_Command>&, scene::physics::Nudge_Command*, scene::physics::Nudge_Command&&) [37]
[38]     0.9    0.02    0.00  969147         decltype (::new ((void*)(0)) scene::physics::Nudge_Command((declval<scene::physics::Nudge_Command>)())) std::construct_at<scene::physics::Nudge_Command, scene::physics::Nudge_Command>(scene::physics::Nudge_Command*, scene::physics::Nudge_Command&&) [38]
                0.00    0.00  969147/2907470     scene::physics::Nudge_Command&& std::forward<scene::physics::Nudge_Command>(std::remove_reference<scene::physics::Nudge_Command>::type&) [89]
                0.00    0.00  969147/2907069     operator new(unsigned long, void*) [90]
-----------------------------------------------
                0.01    0.01  968961/968961      std::_Rb_tree<scene::physics::Position, std::pair<scene::physics::Position const, scene::physics::Physics_Object>, std::_Select1st<std::pair<scene::physics::Position const, scene::physics::Physics_Object> >, std::less<scene::physics::Position>, std::allocator<std::pair<scene::physics::Position const, scene::physics::Physics_Object> > >::_M_drop_node(std::_Rb_tree_node<std::pair<scene::physics::Position const, scene::physics::Physics_Object> >*) [24]
[39]     0.8    0.01    0.01  968961         std::_Rb_tree<scene::physics::Position, std::pair<scene::physics::Position const, scene::physics::Physics_Object>, std::_Select1st<std::pair<scene::physics::Position const, scene::physics::Physics_Object> >, std::less<scene::physics::Position>, std::allocator<std::pair<scene::physics::Position const, scene::physics::Physics_Object> > >::_M_destroy_node(std::_Rb_tree_node<std::pair<scene::physics::Position const, scene::physics::Physics_Object> >*) [39]
                0.00    0.00  968961/4907651     std::_Rb_tree_node<std::pair<scene::physics::Position const, scene::physics::Physics_Object> >::_M_valptr() [31]
